Timestamp,Ваш возраст,Ваш пол,"Укажите Ваши контакты(соцсети), если хотите узнать результат",Ваш класс обучения ,"Я знаю, когда следует обсуждать свои проблемы с окружающими","Когда я сталкиваюсь с трудностями, я вспо­минаю случаи, когда я уже сталкивался (сталки­валась) с подобными трудностями и успешно их преодолевал(а)","Я полагаю, что справлюсь с большинством дел, за которые берусь.",Люди с легкостью доверяются мне.,Мне трудно понимать невербальные сообще­ния других людей.,"Некоторые значимые события моей жизни за­ставили меня переоценить, что важно, а что не­важно","Когда мое настроение изменяется, я вижу но­вые возможности","Эмоции входят в число вещей, которые за­ставляют меня ценить жизнь","Когда я переживаю эмоции, я осознаю их","Я жду, что случится что-то хорошее",Мне нравится делиться своими чувствами с окружающими," Когда я переживаю положительные эмоции, я знаю, как их продлить","Я организовываю события, которыми насла­ждаются другие.","Я ищу виды деятельности, которые делают меня счастливым (ой)","Я осознаю, какие невербальные сообщения посылаю другим.","Я представляю себя так, чтобы произвести хорошее впечатление на окружающих.","Когда я в хорошем настроении, я легко ре­шаю проблемы","Я понимаю, почему меняются мои эмоции.","Когда я в хорошем настроении, мне приходят в голову новые идеи",Я контролирую свои эмоции.,"Я легко распознаю свои эмоции, когда я их переживаю","Я мотивирую себя, представляя хороший ре­зультат, который ждет меня после выполнения дел, которыми я занимаюсь","Я хвалю других, когда они делают что-то хо­рошо","Я замечаю невербальные сигналы, которые посылают другие люди","Когда кто-то рассказывает мне о важном со­бытии в его или ее жизни, я чувствую себя поч­ти также, как если бы я сам (а) это пережил(а)","Когда мои эмоции меняются, меня часто осе­няют новые идеи","Когда я сталкиваюсь с трудностями, я сда­юсь, потому что боюсь, что потерплю пораже­ние","Я могу определить, что чувствуют другие люди, только посмотрев на них.","Я помогаю людям почувствовать себя лучше, когда у них плохое настроение.","Я использую хорошее настроение для того, чтобы продолжать попытки, когда я сталкива­юсь с трудностями","Я могу определить, как люди себя чувству­ют по тону их голоса","Мне трудно понять, почему люди испыты­вают те или иные эмоции","Я замечаю, когда близкий человек переживает, даже если он (она) пытается это скрыть","Если человек на меня обижается, я не знаю, как восстановить с ним хорошие отношения",Мне легко догадаться о чувствах человека по выражению его лица,"Я хорошо знаю, чем заняться, чтобы улучшить себе настроение",У меня обычно не получается повлиять на эмоциональное состояние своего собеседника,"Когда я раздражаюсь, то не могу сдержаться, и говорю всё, что думаю","Я хорошо понимаю, почему мне нравятся или не нравятся те или иные люди","Я не сразу замечаю, когда начинаю злиться",Я умею улучшить настроение окружающих,"Если я увлекаюсь разговором, то говорю слишком громко и активно жестикулирую",Я понимаю душевное состояние некоторых людей без слов,В экстремальной ситуации я не могу усилием воли взять себя в руки,Я легко понимаю мимику и жесты других людей,"Когда я злюсь, я знаю, почему","Я знаю, как ободрить человека, находящегося в тяжелой ситуации",Окружающие считают меня слишком эмоциональным человеком,"Я способен успокоить близких, когда они находятся в напряжённом состоянии","Мне бывает трудно описать, что я чувствую по отношению к другим","Если я смущаюсь при общении с незнакомыми людьми, то могу это скрыть","Глядя на человека, я легко могу понять его эмоциональное состояние",Я контролирую выражение чувств на своем лице,"Бывает, что я не понимаю, почему испытываю то или иное чувство",В критических ситуациях я умею контролировать выражение своих эмоций,"Если надо, я могу разозлить человека","Когда я испытываю положительные эмоции, я знаю, как поддержать это состояние","Как правило, я понимаю, какую эмоцию испытываю","Если собеседник пытается скрыть свои эмоции, я сразу чувствую это","Я знаю как успокоиться, если я разозлился","Можно определить, что чувствует человек, просто прислушиваясь к звучанию его голоса",Я не умею управлять эмоциями других людей,Мне трудно отличить чувство вины от чувства стыда,"Я умею точно угадывать, что чувствуют мои знакомые",Мне трудно справляться с плохим настроением,"Если внимательно следить за выражением лица человека, то можно понять, какие эмоции он скрывает","Я не нахожу слов, чтобы описать свои чувства друзьям","Мне удаётся поддержать людей, которые делятся со мной своими переживаниями",Я умею контролировать свои эмоции,"Если мой собеседник начинает раздражаться, я подчас замечаю это слишком поздно","По интонациям моего голоса легко догадаться о том, что я чувствую","Если близкий человек плачет, я теряюсь",Мне бывает весело или грустно без всякой причины,Мне трудно предвидеть смену настроения у окружающих меня людей,Я не умею преодолевать страх,"Бывает, что я хочу поддержать человека, а он этого не чувствует, не понимает","У меня бывают чувства, которые я не могу точно определить","Я не понимаю, почему некоторые люди на меня обижаются",   Свои планы на будущее люблю разрабатывать в малейших деталях  ,"  Люблю всякие приключения, могу идти на риск  "," Стараюсь всегда приходить вовремя, но тем не менее часто опаздываю.  ","  Придерживаюсь девиза ―Выслушай совет, но сделай по-своему‖  ",  Часто полагаюсь на свои способности ориентироваться по ходу дела и не стремлюсь заранее представить последовательность своих действий.  ,"Окружающие отмечают, что я недостаточно критичен к себе и своим действиям, но сам я это не всегда замечаю  ","Накануне контрольных или экзаменов у меня обычно появлялось чувство, что не хватило 1–2 дней для подготовки.  "," Чтобы чувствовать себя уверенно, необходимо знать, что ждет тебя завтра  ","  Мне трудно себя заставить что-либо переделывать, даже если качество сделанного меня не устраивает  ","  Не всегда замечаю свои ошибки, чаще это делают окружающие меня люди  ",  Переход на новую систему работы не причиняет мне особых неудобств  ,  Мне трудно отказаться от принятого решения даже под влиянием близких мне людей  ,"   Я не отношу себя к людям, жизненным принципом которых является ―Семь раз отмерь, один раз отрежь  ","  Не выношу, когда меня опекают и за меня что-то решают  ",  Не люблю много раздумывать о своем будущем  ,   В новой одежде часто ощущаю себя неловко  ,"  Всегда заранее планирую свои расходы, не люблю делать незапланированных покупок.  ","  Избегаю риска, плохо справляюсь с неожиданными ситуациями  ","Мое отношение к будущему часто меняется: то строю радужные планы, то будущее кажется мне мрачным ","   Всегда стараюсь продумать способы достижения цели, прежде чем начну действовать  ",  Предпочитаю сохранять независимость даже от близких мне людей.  ,"  Мои планы на будущее обычно реалистичны, и я не люблю их менять  ",  В первые дни отпуска (каникул) при смене образа жизни всегда появляется чувство дискомфорта  ,   При большом объеме работы неминуемо страдает качество результатов  ,"   Люблю перемены в жизни, смену обстановки и образа жизни  ",  Не всегда вовремя замечаю изменения обстоятельств и из-за этого терплю неудачи  ,"  Бывает, что настаиваю на своем, даже когда не уверен в своей правоте  ",   Люблю придерживаться заранее намеченного на день плана  ,"  Прежде чем выяснять отношения, стараюсь представить себе различные способы преодоления конфликта  ","  В случае неудачи всегда ищу, что же было сделано неправильно  ","  Не люблю посвящать кого-либо в свои планы, редко следую чужим советам  ","  Считаю разумным принцип: сначала надо ввязаться в бой, а затем искать средства для победы  ","  Люблю помечтать о будущем, но это скорее фантазии, чем реальность  ",  Стараюсь всегда учитывать мнение товарищей о себе и своей работе  ,"Если я занят чем-то важным для себя, то могу работать в любой обстановке.  ",  В ожидании важных событий стремлюсь заранее представить последовательность своих действий при том или ином развитии ситуации.  ,"  Прежде чем взяться за дело, мне необходимо собрать подробную информацию об условиях его выполнения и сопутствующих обстоятельствах  ",  Редко отступаюсь от начатого дела  ,Часто допускаю небрежное отношение к своим обязательствам в случае усталости и плохого самочувствия  ," Если я считаю, что прав, то меня мало волнует мнение окружающих о моих действиях  ","  Про меня говорят, что я ―разбрасываюсь‖, не умею отделить главное от второстепенного.  ", не умею и не люблю заранее планировать свой бюджет.  ,"   Если в работе не удалось добиться устраивающего меня качества, стремлюсь переделать, даже если окружающим это не важно  ","  После разрешения конфликтной ситуации часто мысленно к ней возвращаюсь, перепроверяю предпринятые действия и результаты  ","   Непринужденно чувствую себя в незнакомой компании, новые люди мне обычно интересны.   ","Обычно резко реагирую на возражения, стараюсь думать и делать все по-своему  ",Я «ерзаю» во время представлений и лекций,Я неусидчив в театре или на лекциях,Я невнимательный.,Я легко сосредоточиваюсь.,Я мыслю последовательно,Я импульсивен,Я действую по обстоятельствам,Я импульсивен в покупках,У меня быстрое мышление,Я действую без обдумывания,"Я трачу или прошу больше, чем зарабатываю","Я беззаботный, ветреный","Я аккуратен, осторожен в мыслях",Я тщательно планирую задачи,Я контролирую себя,Я планирую поездки задолго до их начала,Я планирую безопасность работы,"Я говорю, не подумав",Мне нравится обдумывать сложные проблемы,Мне нравятся загадки (ребусы),Я коплю регулярно,"Я более заинтересован в настоящем, нежели в будущем","Я скучаю при решении задач, требующих обдумывания.",Я меняю места жительства,Я меняю работу,Я ориентирован на будущее,Я могу думать лишь об одной проблеме одновременно,"Когда я думаю, у меня возникают посторонние мысли",Я быстро определяюсь в своем мнении,Я меняю свои хобби,"Мне требуется много времени, чтобы «раскачаться» и начать действовать", Я планирую мои дела ежедневно,Меня выводят из себя и выбивают из привычного графика непредвиденные дела,Обычно я намечаю программу на день и стараюсь ее выполнить,Мне бывает трудно завершить начатое," Я не могу отказаться от начатого дела, даже если оно мне «не по зубам»","Я знаю, чего хочу, и делаю все чтобы этого добиться",Я заранее выстраиваю план предстоящего дня,"Мне более важно то, что я делаю и переживаю в данный момент, а не то  что будет или было""", Я могу начать делать несколько дел и ни одно из них не закончить,Я планирую мои повседневные дела согласно определенным принципам,"Я считаю себя человеком, живущим «здесь-и-сейчас»","Я не могу перейти к другому делу, если не завершил предыдущего",Я считаю себя целенаправленным человеком,"Вместо того чтобы заниматься делами, я часто попусту трачу время",Мне нравится вести дневник и фиксировать в нем происходящее со мной,"Иногда я даже не могу заснуть, вспомнив о недоделанных делах",У меня есть к чему стремиться,Мне нравится пользоваться ежедневником и иными средствами планирования времени,Моя жизнь направлена на достижение определенных результатов,У меня бывают трудности с упорядочением моих дел,Мне нравится писать отчеты по итогам работы, Я ни к чему не стремлюсь,"Если я не закончил какое-то дело, то это не выходит у меня из головы",У меня есть главная цель в жизни,"  У меня имеется четкое представление о том, что я хочу получить от жизни  ","  Я пытаюсь мысленно опережать события, прогнозируя возможные последствия своих действий  ",  Я систематически контролирую результаты своей деятельности  ,  Я могу действовать не взирая или даже вопреки своему сиюминутному эмоциональному побуждению  ,  Я стараюсь не участвовать в рискованных мероприятиях  ,"  Ставя перед собой цель, я ярко, во всех деталях представляю результат ее осуществления  ","  Если у меня не хватает возможностей для достижения поставленной цели, то я, в первую очередь, направляю свои усилия на создание этих возможностей  ",  Я могу повлиять на свое состояние и деятельность с помощью сознательного изменения своего отношения к ситуации  ,  Стараюсь без особой необходимости ничего в своей жизни не менять  ,"  К выбору своих жизненных целей я подхожу осознанно, не жалея на это времени  ","  Ставя перед собой цель, я определяю крайние сроки ее достижения  ","  Я составляю план работы на неделю, используя еженедельник, специальный блокнот и т.п.  ",  Я отслеживаю степень совпадения промежуточных и конечных результатов с ранее запланированными  ,  Я без труда мобилизую собственные силы для преодоления возникающих на пути к поставленной цели препятствий  ,  Я легко переношу изменения правил или условий жизнедеятельности  ,"  Поставив перед собой цель, я определяю конкретный способ оценки своего продвижения к ней  ",   Я регулярно анализирую свою деятельность и ее результаты  ,"  Я формулирую для себя цели, которых должен достичь в ближайшее время  ","  Я пытаюсь выявить основные факторы, позволившие добиться мне успеха, чтобы использовать их в дальнейшем  ","  Я успешно преодолеваю ситуативные желания, отвлекающие меня от поставленной цели   ","   Я смущаюсь, когда становлюсь «центром внимания»  ","   У меня часто возникают вопросы о смысле того, чем я занимаюсь  ","  В конце дня я анализирую, где и по каким причинам я напрасно потерял время  ","  Я решаю проблемы последовательно, шаг за шагом  ",  Я обладаю таким качеством как настойчивость  ,  Я без особого труда приспосабливаюсь к изменению ситуации  ,"  Принимая решение, я стараюсь рассмотреть все возможные варианты  ","  Планируя свою деятельность, я сразу устанавливаю критерии, по которым буду определять степень осуществления плана  ",  Я планирую свою работу на следующий день  ,  Я периодически провожу оценку своей деятельности   ,  Я без особого труда подчиняю свои действия принятым мною решениям  ,  Я легко осваиваюсь в новом коллективе  ,"  Ставя перед собой цель, я определяю – имеются ли у меня все необходимые возможности для ее достижения  ",   Я контролирую все свои действия  ,  Неожиданности выбивают меня из «колеи»  ,"  Для фиксации поручений, заданий и просьб я использую определенную систему   ","  Ставя перед собой долгосрочную цель, я разбиваю ее на ряд промежуточных  ",  Я ищу причины отклонений достигнутых результатов от ранее запланированных  ," Препятствия на пути к цели мобилизуют меня, придавая силы  ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/04 9:15:30 pm GMT+11,17,М,Нет,11,Согласен,Абсолютно согласен,Абсолютно согласен,Категорически не согласен,Не согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Трудно сказать,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Согласен,Согласен,Абсолютно согласен,Категорически не согласен,Трудно сказать,Трудно сказать,Абсолютно согласен,Согласен,Не согласен,Полностью согласен,Скорее согласен,Скорее согласен,Полностью согласен,Скорее не согласен,Совсем не согласен,Полностью согласен,Совсем не согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Совсем не согласен,Скорее согласен,Полностью согласен,Скорее не согласен,Совсем не согласен,Скорее согласен,Совсем не согласен,Полностью согласен,Скорее согласен,Полностью согласен,Совсем не согласен,Полностью согласен,Полностью согласен,Полностью согласен,Полностью согласен,Полностью согласен,Полностью согласен,Полностью согласен,Скорее не согласен,Совсем не согласен,Скорее согласен,Совсем не согласен,Скорее согласен,Скорее не согласен,Полностью согласен,Полностью согласен,Совсем не согласен,Скорее согласен,Скорее не согласен,Совсем не согласен,Скорее не согласен,Совсем не согласен,Скорее не согласен,Совсем не согласен,Совсем не согласен,Верно,Верно,Неверно,Пожалуй  неверно,Неверно,Неверно,Неверно,Верно,Неверно,Неверно,Верно,Неверно,Неверно,Верно,Неверно,Неверно,Верно,Неверно,,Верно,Пожалуй  неверно,Верно,Неверно,Неверно,Верно,Неверно,Неверно,Верно,Верно,Верно,Верно,Неверно,Пожалуй  неверно,Пожалуй  неверно,Верно,Верно,Верно,Верно,Неверно,Верно,Неверно,Неверно,Верно,Верно,Верно,Пожалуй  неверно,Редко или никогда,Редко или никогда,Редко или никогда,Всегда или почти всегда,Всегда или почти всегда,Редко или никогда,Редко или никогда,Редко или никогда,Всегда или почти всегда,Редко или никогда,Редко или никогда,Редко или никогда,Всегда или почти всегда,Всегда или почти всегда,Всегда или почти всегда,Всегда или почти всегда,Всегда или почти всегда,Редко или никогда,Всегда или почти всегда,Всегда или почти всегда,Всегда или почти всегда,Редко или никогда,Редко или никогда,Редко или никогда,Редко или никогда,Всегда или почти всегда,Редко или никогда,Редко или никогда,Всегда или почти всегда,Редко или никогда,Полностью не согласен,Полностью согласен,Кое в чем согласен,Полностью согласен,Полностью не согласен,Полностью не согласен,Полностью согласен,Полностью согласен,Полностью не согласен,Полностью не согласен,Полностью согласен,Полностью не согласен,Полностью согласен,Полностью согласен,Полностью не согласен,Полностью не согласен,Полностью согласен,Полностью согласен,Полностью не согласен,Полностью согласен,Полностью не согласен,Полностью согласен,Полностью не согласен,Полностью согласен,Полностью согласен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Неверно,Верно
2023/02/05 12:24:47 am GMT+11,16,Ж,Да,9,Согласен,Согласен,Трудно сказать,Трудно сказать,Не согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Трудно сказать,Трудно сказать,Не согласен,Согласен,Трудно сказать,Не согласен,Согласен,Трудно сказать,Согласен,Согласен,Согласен,Согласен,Согласен,Трудно сказать,Трудно сказать,Согласен,Согласен,Не согласен,Трудно сказать,Согласен,Трудно сказать,Не согласен,Скорее согласен,Полностью согласен,Полностью согласен,Полностью согласен,Скорее не согласен,Полностью согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Полностью согласен,Полностью согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Полностью согласен,Полностью согласен,Скорее не согласен,Скорее согласен,Скорее согласен,Полностью согласен,Полностью согласен,Верно,Пожалуй  верно,Пожалуй  верно,Верно,Верно,Неверно,Верно,Верно,Верно,Верно,Пожалуй  неверно,Верно,Пожалуй  верно,Верно,Пожалуй  неверно,Пожалуй  неверно,Верно,Верно,,Верно,Верно,Верно,Пожалуй  верно,Верно,Пожалуй  неверно,Пожалуй  неверно,Верно,Верно,Верно,Верно,Верно,Пожалуй  неверно,Верно,Пожалуй  неверно,Неверно,Верно,Верно,Верно,Пожалуй  верно,Верно,Пожалуй  неверно,Пожалуй  неверно,Верно,Верно,Верно,Верно,Иногда,Иногда,Редко или никогда,Всегда или почти всегда,Часто,Часто,Часто,Часто,Часто,Иногда,Часто,Редко или никогда,Всегда или почти всегда,Всегда или почти всегда,Часто,Часто,Часто,Иногда,Всегда или почти всегда,Всегда или почти всегда,Часто,Иногда,Редко или никогда,Редко или никогда,Иногда,Всегда или почти всегда,Часто,Часто,Часто,Часто,Согласен,Не согласен,Кое в чем согласен,Не согласен,Согласен,Кое в чем согласен,Согласен,Не согласен,Кое в чем согласен,Полностью согласен,Ни то  ни другое,Кое в чем согласен,Кое в чем согласен,Полностью согласен,Полностью согласен,Кое в чем согласен,Полностью согласен,Полностью согласен,Не согласен,Полностью согласен,Полностью согласен,Полностью не согласен,Полностью не согласен,Полностью согласен,Полностью согласен,Согласен частично,Согласен частично,Скорее не согласен  чем согласен,Скорее согласен  чем не согласен,Согласен полностью,Согласен полностью,Согласен частично,Согласен частично,Согласен полностью,Согласен полностью,Скорее не согласен  чем согласен,Не согласен полностью,Скорее не согласен  чем согласен,Скорее согласен  чем не согласен,Скорее согласен  чем не согласен,Согласен полностью,Не согласен частично,Согласен полностью,Согласен полностью,Согласен частично,Скорее не согласен  чем согласен,Согласен полностью,Не согласен полностью,Скорее не согласен  чем согласен,Согласен частично,Скорее не согласен  чем согласен,Согласен частично,Скорее не согласен  чем согласен,Не согласен полностью,Скорее не согласен  чем согласен,Согласен частично,Согласен полностью,Согласен частично,Скорее согласен  чем не согласен,Скорее согласен  чем не согласен,Согласен частично,Скорее не согласен  чем согласен,Не согласен частично,Скорее согласен  чем не согласен,Верно,
2023/02/05 12:33:55 am GMT+11,18,М,Да,11,Согласен,Абсолютно согласен,Согласен,Согласен,Абсолютно согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Категорически не согласен,Абсолютно согласен,Абсолютно согласен,Абсолютно согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Абсолютно согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,Согласен,Не согласен,Полностью согласен,Совсем не согласен,Полностью согласен,Полностью согласен,Совсем не согласен,Скорее не согласен,Скорее согласен,Скорее не согласен,Полностью согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Полностью согласен,Скорее согласен,Скорее согласен,Совсем не согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее не согласен,Скорее согласен,Полностью согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее согласен,Полностью согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее не согласен,Скорее согласен,Скорее не согласен,Полностью согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее не согласен,Полностью согласен,Скорее не согласен,Скорее не согласен,Пожалуй  верно,Верно,Верно,Верно,Пожалуй  верно,Неверно,Верно,Верно,Неверно,Пожалуй  неверно,Верно,Верно,Верно,Пожалуй  неверно,Пожалуй  неверно,Пожалуй  неверно,Верно,Неверно,,Верно,Пожалуй  верно,Верно,Пожалуй  неверно,Пожалуй  неверно,Верно,Пожалуй  неверно,Пожалуй  неверно,Пожалуй  верно,Верно,Верно,Пожалуй  неверно,Пожалуй  неверно,Пожалуй  верно,Пожалуй  верно,Верно,Верно,Пожалуй  верно,Верно,Пожалуй  неверно,Пожалуй  неверно,Пожалуй  неверно,Пожалуй  неверно,Верно,Пожалуй  верно,Верно,Пожалуй  неверно,Всегда или почти всегда,Всегда или почти всегда,Иногда,Часто,Часто,Часто,Часто,Иногда,Часто,Иногда,Редко или никогда,Иногда,Часто,Часто,Иногда,Часто,Часто,Редко или никогда,Иногда,Часто,Часто,Иногда,Иногда,Редко или никогда,Редко или никогда,Часто,Иногда,Часто,Часто,Редко или никогда,Не согласен,Кое в чем согласен,Не согласен,Ни то  ни другое,Не согласен,Согласен,Согласен,Кое в чем согласен,Кое в чем согласен,Не согласен,Кое в чем согласен,Кое в чем согласен,Кое в чем согласен,Согласен,Кое в чем согласен,Полностью не согласен,Кое в чем согласен,Полностью согласен,Кое в чем согласен,Согласен,Согласен,Кое в чем согласен,Полностью не согласен,Не согласен,Согласен,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Не согласен частично,Согласен частично,Согласен частично,Согласен частично,Не согласен частично,Согласен частично,Согласен частично,Не согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Не согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен частично,Согласен полностью,Согласен частично,Скорее согласен  чем не согласен,Скорее не согласен  чем согласен,Скорее согласен  чем не согласен,Согласен частично,Согласен частично,Согласен частично,Неверно,
2023/02/05 12:43:36 am GMT+11,15,Ж,влада м,9,Абсолютно согласен,Абсолютно согласен,Трудно сказать,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Трудно сказать,Трудно сказать,Согласен,Абсолютно согласен,Трудно сказать,Согласен,Согласен,Согласен,Согласен,Согласен,Трудно сказать,Абсолютно согласен,Согласен,Трудно сказать,Согласен,Абсолютно согласен,Не согласен,Согласен,Согласен,Не согласен,Согласен,Трудно сказать,Скорее согласен,Скорее не согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Совсем не согласен,Полностью согласен,Скорее не согласен,Скорее согласен,Совсем не согласен,Скорее не согласен,Скорее не согласен,Скорее согласен,Скорее согласен,Скорее согласен,Совсем не согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее не согласен,Скорее не согласен,Скорее не согласен,Полностью согласен,Скорее согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Полностью согласен,Скорее не согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Полностью согласен,Скорее не согласен,Скорее не согласен,Полностью согласен,Скорее не согласен,Скорее согласен,Скорее согласен,Скорее не согласен,Скорее согласен,Скорее не согласен,Пожалуй  верно,Пожалуй  верно,Неверно,Пожалуй  верно,Пожалуй  неверно,Пожалуй  верно,Пожалуй  неверно,Пожалуй  верно,Неверно,Пожалуй  неверно,Неверно,Пожалуй  верно,Пожалуй  неверно,Пожалуй  верно,Пожалуй  неверно,Пожалуй  неверно,Пожалуй  верно,Пожалуй  неверно,,Пожалуй  верно,Верно,Пожалуй  верно,Пожалуй  неверно,Пожалуй  верно,Пожалуй  неверно,Пожалуй  неверно,Верно,Пожалуй  верно,Пожалуй  верно,Пожалуй  верно,Пожалуй  верно,Неверно,Пожалуй  неверно,Пожалуй  неверно,Пожалуй  верно,Пожалуй  верно,Верно,Пожалуй  верно,Пожалуй  неверно,Пожалуй  верно,Пожалуй  неверно,Неверно,Верно,Пожалуй  верно,Пожалуй  неверно,Пожалуй  неверно,Часто,Иногда,Иногда,Часто,Всегда или почти всегда,Редко или никогда,Иногда,Иногда,Часто,Редко или никогда,Иногда,Редко или никогда,Всегда или почти всегда,Часто,Всегда или почти всегда,Часто,Часто,Редко или никогда,Всегда или почти всегда,Всегда или почти всегда,Всегда или почти всегда,Иногда,Иногда,Иногда,Всегда или почти всегда,Часто,Иногда,Часто,Часто,Часто,Кое в чем согласен,Согласен,Согласен,Кое в чем согласен,Кое в чем не согласен,Кое в чем согласен,Кое в чем согласен,Кое в чем согласен,Не согласен,Не согласен,Кое в чем согласен,Не согласен,Не согласен,Кое в чем согласен,Согласен,Полностью согласен,Кое в чем согласен,Согласен,Согласен,Согласен,Кое в чем не согласен,Кое в чем согласен,Не согласен,Кое в чем согласен,Ни то  ни другое,Скорее согласен  чем не согласен,Согласен полностью,Согласен частично,Согласен полностью,Скорее не согласен  чем согласен,Скорее согласен  чем не согласен,Согласен полностью,Скорее согласен  чем не согласен,Скорее согласен  чем не согласен,Согласен полностью,Скорее согласен  чем не согласен,Скорее согласен  чем не согласен,Согласен частично,Согласен частично,Не согласен частично,Скорее согласен  чем не согласен,Согласен полностью,Согласен полностью,Согласен частично,Не согласен частично,Согласен полностью,Скорее согласен  чем не согласен,Скорее согласен  чем не согласен,Согласен частично,Согласен частично,Не согласен частично,Согласен частично,Скорее согласен  чем не согласен,Скорее согласен  чем не согласен,Согласен полностью,Согласен частично,Не согласен частично,Скорее согласен  чем не согласен,Согласен полностью,Согласен частично,Скорее согласен  чем не согласен,Скорее не согласен  чем согласен,Скорее не согласен  чем согласен,Скорее согласен  чем не согласен,Пожалуй  неверно,
